Nombre Institucion,Tipo INstitucion,Calle,Estado,Ciudad,Pagina Web,Coordenada Latitud,Coordenada Longitud
8 DE MARZO JARDIN DE NI�OS,Escuelas de educaci�n preescolar del sector p�blico,VILLA DEL PRADO I,Baja California,Tijuana                                                                                                       ,WWW.ALTOBOXINGCLUB.COM,32.40961566,-116.9649198
ABG DANCE CENTER,Escuelas de arte del sector privado,PASEOS DEL FLORIDO CALIFORNIA,Baja California,Tijuana                                                                                                       ,WWW.ANSPAC.ORG.MX,32.45900345,-116.8730159
ACADEMIA BEAT THE BEAT,Escuelas de arte del sector privado,BUENOS AIRES SUR,Baja California,Tijuana                                                                                                       ,WWW.AQUA-TOTS.COM,32.50681083,-116.8976921
ACADEMIA DE ARTES MARCIALES LIMA LAMA,Escuelas de deporte del sector privado,VILLA FONTANA,Baja California,Tijuana                                                                                                       ,WWW.PREUNIASESORIAS.COM,32.51055873,-116.8694034
ACADEMIA DE BAILE,Escuelas de arte del sector privado,BUENA VISTA,Baja California,Tijuana                                                                                                       ,WWW.ESCOMEX.EDU.MX,32.52067759,-116.9881985
ACADEMIA DE BALLET PLAYAS,Escuelas de arte del sector privado,PLAYAS DE TIJUANA SECCI�N JARDINES,Baja California,Tijuana                                                                                                       ,WWW.UDC.EDU.MX,32.52658078,-117.1114288
ACADEMIA DE BARBERIA VISCTOR COLOR,Escuelas del sector privado dedicadas a la ense�anza de oficios,ZONA CENTRO,Baja California,Tijuana                                                                                                       ,MEMVILL.EDU.MX,32.53276406,-117.0377097
ACADEMIA DE BELLEZA LADYS FASHION,Escuelas del sector privado dedicadas a la ense�anza de oficios,ZONA CENTRO,Baja California,Tijuana                                                                                                       ,WWW.BERLITZ.MX,32.53394268,-117.0369102
ACADEMIA DE BELLEZA MARE,Escuelas del sector privado dedicadas a la ense�anza de oficios,VALLE VERDE,Baja California,Tijuana                                                                                                       ,WWW.BRITSHAMERICANI.COM,32.51387471,-116.8699806
ACADEMIA DE DANZA DAENSEU,Escuelas de arte del sector privado,VILLA FONTANA,Baja California,Tijuana                                                                                                       ,WWW.CBTIS146.COM,32.50487453,-116.8661769
ACADEMIA DE DANZA VILLA DI DANZA,Escuelas de arte del sector privado,VILLA FONTANA,Baja California,Tijuana                                                                                                       ,WWW.CECITE.BC.EDU.MX,32.50601909,-116.8657544
ACADEMIA DE FUTBOL CUCAPAH,Escuelas de deporte del sector privado,VILLA FONTANA,Baja California,Tijuana                                                                                                       ,WWW.CECYTEBC.EDU.MX,32.51259327,-116.8794066
ACADEMIA DE INGLES,Escuelas de idiomas del sector privado,BENTON,Baja California,Tijuana                                                                                                       ,WWW.CECYTEBC.EDU.MX,32.49347954,-116.957062
ACADEMIA DE INGLES,Escuelas de idiomas del sector privado,HACIENDA LOS VENADOS,Baja California,Tijuana                                                                                                       ,WWW.CECYTEBC.EDUC.MX,32.41099776,-116.9268082
ACADEMIA DE MUSICA ALTEROS,Escuelas de arte del sector privado,NUEVA TIJUANA,Baja California,Tijuana                                                                                                       ,WWW.COBACHBC.EDU.MX,32.54143487,-116.9308706
ACADEMIA DE MUSICA ARMONIA,Escuelas de arte del sector privado,LA GLORIA,Baja California,Tijuana                                                                                                       ,WWW.CAM-BC.ORG,32.44442504,-117.008617
ACADEMIA DE MUSICA SEM,Escuelas de arte del sector privado,VILLA FONTANA,Baja California,Tijuana                                                                                                       ,WWW.CASTCONALEPBC.EDU.MX,32.50429722,-116.865373
ACADEMIA DELT,Escuelas de arte del sector privado,VILLA FONTANA,Baja California,Tijuana                                                                                                       ,WWW.CBTIS146.EDU.MX,32.51139148,-116.8721086
